WAP96,WAP100,WAP101,WAP102,WAP103,WAP104,WAP105,WAP106,WAP107,WAP108,WAP110,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE,OLDLABEL,FIXX,FIXY,OLDX,OLDY,ROOMID
-71,100,100,-91,100,100,-96,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1211,1611,1.3,14.1,-29.9,16.1,16
-72,100,100,-88,100,100,-95,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1211,1611,1.3,14.1,-29.9,16.1,16
-71,100,100,-91,100,100,-98,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1211,1611,1.3,14.1,-29.9,16.1,16
-74,100,100,-83,100,100,100,100,100,100,100,100,100,-94,100,100,-88,1615,1.5,14.8,1211,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-80,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,-96,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-79,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-76,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-81,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-94,1615,1.5,14.8,1212,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-87,100,100,-92,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-74,100,100,-89,100,100,-96,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-68,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-87,100,100,-97,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-73,100,100,-87,100,100,-93,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-68,100,100,-88,100,100,-93,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-70,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,1210,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,100,100,100,-97,100,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,-97,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-90,100,100,-97,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-94,100,100,-96,100,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-74,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-91,100,100,-92,100,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-95,1615,1.5,14.8,121D,1611,1.3,14.1,-29.9,16.1,16
-80,100,100,-91,100,100,100,100,100,100,100,100,100,-94,100,100,-95,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-72,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-72,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-86,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-85,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-85,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-90,100,100,-95,100,100,100,100,100,100,100,100,100,-87,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-91,100,100,-93,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-82,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,1F61,1611,1.3,14.1,-29.9,16.1,16
-69,100,100,-81,100,100,-89,100,100,100,100,100,100,100,100,100,100,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-68,100,100,-81,100,100,-96,100,100,100,100,100,100,-93,100,100,-93,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-67,100,100,-83,100,100,-95,100,100,100,100,100,100,100,100,100,-91,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-73,100,100,-84,100,100,-91,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-72,100,100,-82,100,100,-95,100,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-67,100,100,-82,100,100,-94,100,100,100,100,100,100,100,100,100,-90,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-64,100,100,-83,100,100,-95,100,100,100,100,100,100,100,100,100,-92,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-71,100,100,-81,100,100,-93,100,100,100,100,100,100,100,100,100,-96,1615,1.5,14.8,2055,1611,1.3,14.1,-29.9,16.1,16
-71,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-93,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-80,100,100,-93,100,100,-91,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-75,100,100,100,100,100,-93,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-78,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-77,100,100,-88,100,100,-97,100,100,100,100,100,100,-98,100,100,-90,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-66,100,100,-85,100,100,-94,100,100,100,100,100,100,-95,100,100,-90,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-73,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,-89,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-69,100,100,-87,100,100,-93,100,100,100,100,100,100,100,100,100,-88,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-68,100,100,-83,100,100,100,100,100,100,100,100,100,-92,100,100,-85,1615,1.5,14.8,2005,1611,1.3,14.1,-29.9,16.1,16
-64,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-94,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-61,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-61,100,100,-87,100,100,100,100,100,100,100,100,100,-100,100,100,100,1613,1.5,12.5,104D,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-72,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1002,1613,1.3,12.1,-29.9,18.1,16
-69,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-73,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-63,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,-97,100,100,100,100,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,10CE,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-94,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-63,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-95,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-70,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,-93,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,-96,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,-93,100,100,100,100,100,100,100,100,100,-99,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-91,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-63,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1211,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1212,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,-91,100,100,-95,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,100,100,100,100,100,100,100,100,100,100,-95,100,100,-93,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-66,100,100,-87,100,100,-95,100,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-71,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-97,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-65,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,1210,1613,1.3,12.1,-29.9,18.1,16
-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-69,100,100,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
-67,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,1613,1.5,12.5,121D,1613,1.3,12.1,-29.9,18.1,16
